央视频道,#genre#
CCTV1,http://39.135.133.177:80/wh7f454c46tw1512734719_1361028486/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://39.135.133.143:80/wh7f454c46tw1630285899_1938674829/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://39.135.133.175:80/wh7f454c46tw1765349513_-682266484/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://39.135.133.172:80/wh7f454c46tw2197949942_-1801475293/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://39.135.133.168:80/wh7f454c46tw4294654607_1944409180/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://39.135.133.168:80/wh7f454c46tw1239868043_1757728937/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://39.135.133.157:80/wh7f454c46tw2244736948_1193096304/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://39.135.133.133:80/wh7f454c46tw2280884228_1993885797/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://39.135.133.172:80/wh7f454c46tw2314559187_-490605842/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://39.135.133.180:80/wh7f454c46tw2408767677_615648363/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://39.135.133.157:80/wh7f454c46tw2447554271_-1081052365/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://39.135.133.160:80/wh7f454c46tw2489178247_-2054304916/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://39.135.133.170:80/wh7f454c46tw2523546300_1141661545/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://39.135.133.175:80/wh7f454c46tw2554360686_1686141128/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://39.135.133.147:80/wh7f454c46tw2585457901_57203018/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8
CCTV15,http://39.135.133.169:80/wh7f454c46tw2615677187_778581563/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://39.135.133.176:80/wh7f454c46tw2653257734_1809009587/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://39.135.133.132:80/wh7f454c46tw2691403823_-2026146243/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV1,http://lovegfs.top:8000/udp/239.120.2.220:5141
CCTV2,http://lovegfs.top:8000/udp/239.120.2.43:5141
CCTV3,http://lovegfs.top:8000/udp/239.120.2.32:5141
CCTV4,http://lovegfs.top:8000/udp/239.120.2.33:5141
CCTV5,http://lovegfs.top:8000/udp/239.120.2.34:5141
CCTV5+,http://lovegfs.top:8000/udp/239.120.2.59:5141
CCTV6,http://lovegfs.top:8000/udp/239.120.2.38:5141
CCTV7,http://lovegfs.top:8000/udp/239.120.2.39:5141
CCTV8,http://lovegfs.top:8000/udp/239.120.2.40:5141
CCTV9,http://lovegfs.top:8000/udp/239.120.2.91:5141
CCTV10,http://lovegfs.top:8000/udp/239.120.2.92:5141
CCTV11,http://lovegfs.top:8000/udp/239.120.2.100:5141
CCTV12,http://lovegfs.top:8000/udp/239.120.2.101:5141
CCTV13,http://lovegfs.top:8000/udp/239.120.2.102:5141
CCTV14,http://lovegfs.top:8000/udp/239.120.2.103:5141
CCTV15,http://lovegfs.top:8000/udp/239.120.2.104:5141
CCTV16,http://lovegfs.top:8000/udp/239.120.2.105:5141
CCTV17,http://lovegfs.top:8000/udp/239.120.2.106:5141
CCTV1,http://lovegfs.top:8000/udp/239.120.1.120:8778
CCTV2,http://lovegfs.top:8000/udp/239.120.1.223:9484
CCTV3,http://lovegfs.top:8000/udp/239.120.1.88:9420
CCTV4,http://lovegfs.top:8000/udp/239.120.1.159:9012
CCTV5,http://lovegfs.top:8000/udp/239.120.1.46:8248
CCTV5+,http://lovegfs.top:8000/udp/239.120.1.245:9428
CCTV6,http://lovegfs.top:8000/udp/239.120.1.49:8252
CCTV7,http://lovegfs.top:8000/udp/239.120.1.224:9490
